                                mean        sd    hdi_3%   hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
baseline_intercept[8]        636.301    70.958   514.875   739.948     22.525    4.943      12.0     160.0   1.76
baseline_intercept[9]        594.551    97.380   419.845   714.377     31.443    8.623      12.0     131.0   1.80
baseline_intercept[10]       634.655    69.938   515.786   732.514     22.797    5.341      12.0     111.0   1.82
baseline_intercept[11]       565.307   125.267   330.317   796.721     21.973    3.902      33.0     175.0   1.16
baseline_intercept[12]       510.872    79.535   357.131   618.603     24.050    7.733      13.0     119.0   1.64
baseline_intercept[13]       564.782    82.884   410.889   676.530     25.641    7.773      12.0     118.0   1.71
baseline_slope[0]           -289.787   288.597  -818.506   246.989     26.313    5.937     122.0     562.0   1.04
baseline_slope[1]           -222.330   162.660  -525.367    81.757     12.244    2.501     178.0    2144.0   1.03
baseline_slope[2]           -241.414   157.580  -538.562    34.633     22.017    4.083      53.0     249.0   1.10
baseline_slope[3]           -298.823   162.843  -584.321    24.353     18.483    2.651      77.0    1886.0   1.07
baseline_slope[4]           -587.728   378.747 -1277.980   122.986     22.369    5.988     287.0    2800.0   1.02
baseline_slope[5]            280.904   260.613  -249.297   677.914     60.731   26.212      20.0     130.0   1.32
baseline_slope[6]            458.911   255.859   -42.714   846.765     67.210   19.655      15.0     147.0   1.48
baseline_slope[7]             -4.582   159.047  -307.143   286.991      7.495    2.642     462.0    1304.0   1.02
baseline_slope[8]            -83.247   166.160  -390.370   182.672     47.201    8.796      14.0     189.0   1.56
baseline_slope[9]           -279.636   242.048  -708.359    61.474     74.884   13.079      12.0     128.0   1.72
baseline_slope[10]           100.687   156.870  -167.729   364.973     46.157    7.308      13.0     124.0   1.65
baseline_slope[11]            33.380   279.881  -497.438   540.835     30.088    4.428      88.0    2707.0   1.06
baseline_slope[12]           190.603   241.834  -245.155   569.895     71.348   19.745      13.0     113.0   1.64
baseline_slope[13]           334.121   225.655   -97.470   681.417     66.055   17.209      13.0     118.0   1.64
sigma_y[0]                   864.798   107.128   672.600  1058.293     30.022   12.348      13.0      39.0   1.65
